date,reportlink,city,state,country,shape,duration,description,post_date,images
9/8/04 12:00,https://nuforc.org/webreports/reports/039/S39192.html,Waikele,HI,USA,Oval,2 hours,I have tried to contact someone from your office at 672-8467 but to no evail........me and my children have observed something very str,9/9/04,
9/6/04 23:00,https://nuforc.org/webreports/reports/074/S74265.html,West Palm Beach,FL,USA,Oval,2 minutes,SIGHTING AFTER HURRICAN IN FL,2/14/10,
9/5/04 11:30,https://nuforc.org/webreports/reports/064/S64235.html,Lewisville,TX,USA,Oval,15 min,long oval cloud with red light in the exact middle,7/5/08,
9/4/04 19:55,https://nuforc.org/webreports/reports/039/S39140.html,Kitchener (Canada),ON,Canada,Oval,2 minutes,3 silver oval crafts seen by 4 witnesses,9/9/04,
9/3/04 22:45,https://nuforc.org/webreports/reports/039/S39101.html,Newark,NJ,USA,Oval,5 minutes,Oval-shaped glow sitting over Newark skyline,9/9/04,
9/2/04 21:00,https://nuforc.org/webreports/reports/039/S39078.html,Kirkland,WA,USA,Oval,1-2 minutes,"Very large, Very Slow, completely lighted aircraft over Lake Washington   ((NUFORC Note:  Blimp??  PD))",9/9/04,
9/1/04 18:00,https://nuforc.org/webreports/reports/039/S39055.html,New York City (Bronx),NY,USA,Oval,4-5 min,"shiny ""ball"" hovering motionless in the sky on a very clear evening",9/9/04,
8/30/04 22:00,https://nuforc.org/webreports/reports/039/S39780.html,Durham,NC,USA,Oval,3-4 minutes,several small brights lights followed by dark slow moving object in the sky that blocked out night sky,10/27/04,
8/30/04 18:30,https://nuforc.org/webreports/reports/039/S39068.html,Cocoa Beach,FL,USA,Oval,2 hrs,lights in the daylight sky at the time of the Atlas rocket launch on the 31st of Aug.,9/9/04,
8/29/04 19:35,https://nuforc.org/webreports/reports/038/S38961.html,Omemee (Canada),ON,Canada,Oval,10 seconds,"A low dark cloud that moved from west to east, changed direction, changed direction again to west to east until it was out of view.",9/1/04,
8/25/04 17:11,https://nuforc.org/webreports/reports/038/S38890.html,Midland,TX,USA,Oval,11 mins,"objects moved very fast& then very slow at each other, & kept stopping for long periods of time, then vanished",9/1/04,
8/22/04 01:30,https://nuforc.org/webreports/reports/038/S38780.html,Lahti (Finland),,Finland,Oval,5 seconds,five red shining oval shaped objects flying fast and silently,8/24/04,
8/22/04 01:00,https://nuforc.org/webreports/reports/056/S56335.html,Boise,ID,USA,Oval,30 seconds?,Green Oval Shaped UFO Sighted Near Gowen Air Field US Air Force Base Boise Idaho,4/27/07,
8/21/04 22:14,https://nuforc.org/webreports/reports/038/S38784.html,Peterborough (Canada),ON,Canada,Oval,2min,Large bright orange light going in a stright line below airliners route as there where three planes way higher on thier flightr paths.,8/24/04,
8/21/04 22:00,https://nuforc.org/webreports/reports/039/S39853.html,Tinley Park,IL,USA,Oval,30min,4 red lights that were not airplane or from laser,10/27/04,
8/20/04 22:00,https://nuforc.org/webreports/reports/038/S38824.html,New York City (Staten Island),NY,USA,Oval,15 min.,the hazy white four objects traveled in a circle and came together about a dozen times in the center like they were playing a game.,8/24/04,
8/20/04 15:00,https://nuforc.org/webreports/reports/045/S45896.html,Hervey Bay (Australia),,Australia,Oval,2 min,9 UFO's appeared and disolved  into nothing  before my eyes,9/2/05,
8/18/04 21:15,https://nuforc.org/webreports/reports/038/S38740.html,Mercer Island,WA,USA,Oval,8 seconds,"My mother and I were driving over the East Channel bridge, passing mercer Island. We both saw a faded green oval descending from west t",8/24/04,
8/18/04 21:00,https://nuforc.org/webreports/reports/039/S39574.html,Plymouth,MN,USA,Oval,10 sec,side by side  reddish  very fast tip to tip flying surfboards in Minnesota.,10/27/04,
8/18/04 04:00,https://nuforc.org/webreports/reports/038/S38748.html,Meriden,CT,USA,Oval,,"Bright light video taped,  ((Venus??))",8/24/04,
8/16/04 02:00,https://nuforc.org/webreports/reports/038/S38690.html,San Bernardino,CA,USA,Oval,1 hour,"We observed four lit up objects which appeared to be in a triangle formation,that were just hovering over the north-east skies, one of",8/24/04,
8/15/04 21:30,https://nuforc.org/webreports/reports/044/S44662.html,Pelzer,SC,USA,Oval,1.5 munites,Steam power plant,7/5/05,
8/13/04 01:00,https://nuforc.org/webreports/reports/038/S38631.html,New York City (Brooklyn),NY,USA,Oval,12 minutes,saw 6 oval disks close to the ground,8/24/04,
8/10/04 00:43,https://nuforc.org/webreports/reports/038/S38560.html,Madeira (Portugal),,Portugal,Oval,4min,It was really strange cause near is an aircraf and ther i can hear the airlines.,8/11/04,
8/7/04 15:30,https://nuforc.org/webreports/reports/038/S38513.html,Manchester (UK/England),,United Kingdom,Oval,5:00minutes,Oval  silver shaped object darts left to right and vanishes,8/11/04,
8/7/04 01:18,https://nuforc.org/webreports/reports/038/S38509.html,Phoenix,AZ,USA,Oval,one minute,One bright yellow oval shaped unidentified flying object,8/11/04,
8/7/04 00:30,https://nuforc.org/webreports/reports/038/S38519.html,Jakarta-Tokyo (inflight),,,Oval,2 minutes,Morphing glowing orange oval object seen on a flight from Jakarta to Tokyo,8/11/04,
8/2/04 12:00,https://nuforc.org/webreports/reports/038/S38444.html,Scio,NY,USA,Oval,20 secounds,The object floated for a matter of secounds then took off very fast.,8/11/04,
8/1/04 12:30,https://nuforc.org/webreports/reports/038/S38425.html,"Sydney (NSW, Australia)",,Australia,Oval,1 minute,"3 balck objects to the S,E, one big 2 small, going aprox 300kmph. weird!",8/11/04,
7/27/04 02:00,https://nuforc.org/webreports/reports/038/S38363.html,Ashland,MA,USA,Oval,20 min,"Ashland, MA UFO  on Chestnut St.",8/11/04,
7/24/04 23:00,https://nuforc.org/webreports/reports/038/S38298.html,Lynnwood,WA,USA,Oval,3 seconds,"Near Seattle, east to west siting, full stop, and then lit large object",7/25/04,
7/19/04 11:30,https://nuforc.org/webreports/reports/038/S38291.html,Monterey Park,CA,USA,Oval,11 HOURS,A daylight sighting of a white object was seen by 30 witnesses over a 90 minute period.,7/25/04,
7/18/04 23:45,https://nuforc.org/webreports/reports/038/S38277.html,Kassel (Germany) (on highway),,Germany,Oval,2 to 3 s,7/18/04  Germany Highway 44     star  flying to Earth after 2 to3 second  was moving to Atmosphere  and became a big oval object,7/25/04,
7/17/04 23:00,https://nuforc.org/webreports/reports/038/S38181.html,Tulare,CA,USA,Oval,,"On July 17,2004 I looked up in the sky and saw about 6 oval shaped objects flying very fast in the sky.  ((NUFORC:  Ad.' lights??  PD))",7/25/04,
7/15/04 20:30,https://nuforc.org/webreports/reports/038/S38136.html,Trevor,WI,USA,Oval,45min.,WI--IL   border  30miles West of Lake Michigan  ball of light going way up and fading,7/25/04,
7/15/04 07:00,https://nuforc.org/webreports/reports/060/S60557.html,Atlanta,GA,USA,Oval,6 seconds,Sighting during Atlanta morning rush hour,3/4/08,
7/14/04 23:00,https://nuforc.org/webreports/reports/038/S38178.html,Valley Center,KS,USA,Oval,2 minutes,using night vision saw fast moving oval object brite no trail no other lights 2 minutes moving due north dime size at arms length but o,7/25/04,
7/13/04 16:20,https://nuforc.org/webreports/reports/038/S38078.html,Houston,TX,USA,Oval,20 minutes,White oval moving in still sky from near downtown to over Astrodome area. Did not rise above clouds and did not move above clouds so no,7/25/04,
7/12/04 23:00,https://nuforc.org/webreports/reports/043/S43244.html,New York City (Yonkers),NY,USA,Oval,1-2 hours,Mind Controlled by Aliens,5/24/05,
7/12/04 22:05,https://nuforc.org/webreports/reports/038/S38067.html,Circleville,OH,USA,Oval,30 sec,MAYBE THEY WERE HUNGRY???,7/25/04,
7/10/04 10:00,https://nuforc.org/webreports/reports/038/S38364.html,"Gurnee (near, on I-55 North)",IL,USA,Oval,40 seconds,"Oval object brushed metalic, watched it for about 30 sec and then it disappered. Very low to ground,",8/11/04,
7/10/04 05:30,https://nuforc.org/webreports/reports/038/S38109.html,Aventura,FL,USA,Oval,45 minutes,"As I was driving back from a nightclub with my girlfriend I saw in the sky what seem to be an airplane, but what called my attention wa",7/25/04,
7/9/04 22:00,https://nuforc.org/webreports/reports/038/S38055.html,Yosemite,CA,USA,Oval,1 minute,bright oval object in Yosemite,7/25/04,
7/9/04 06:50,https://nuforc.org/webreports/reports/037/S37999.html,Corpus Christi,TX,USA,Oval,30 seconds,Oval object streaks across a clear Texas sky.,7/25/04,
7/8/04 20:00,https://nuforc.org/webreports/reports/038/S38114.html,Trumbull,CT,USA,Oval,40 seconds,Brown rolling cylinder w/o sound nor light that seemed to have paddle-wings or changed shape as it proceed.,7/25/04,
7/7/04 17:30,https://nuforc.org/webreports/reports/037/S37993.html,Memphis,TN,USA,Oval,2 min,watching storm clouds and ufo,7/25/04,
7/5/04 09:24,https://nuforc.org/webreports/reports/038/S38942.html,Arnhem (Netherlands),,Netherlands,Oval,2 min,"oval object moving like jet-liner from north to south , location Netherlands, Arnhem",9/1/04,
7/2/04 16:00,https://nuforc.org/webreports/reports/038/S38246.html,El Monte,CA,USA,Oval,30 Seconds,Shimmering star-like objcet that dulls into a metal oval.,7/25/04,
6/30/04 23:00,https://nuforc.org/webreports/reports/050/S50070.html,New Springfield,OH,USA,Oval,,me my dad my brother and cusin were driving home on a clear night and we pulled in my driveway and we saw a big oval red shaped object,5/15/06,
